location_iso,location_code,target_end_date,epiweek,hospitalizations
US-CA,06,2024-05-25,202421,42.0
US-CA,06,2024-06-01,202422,56.0
US-CA,06,2024-06-08,202423,59.0
US-CA,06,2024-06-15,202424,58.0
US-CA,06,2024-06-22,202425,64.0
US-CA,06,2024-06-29,202426,49.0
US-CA,06,2024-07-06,202427,37.0
US-CA,06,2024-07-13,202428,39.0
US-CA,06,2024-07-20,202429,35.0
US-CA,06,2024-07-27,202430,29.0
US-CA,06,2024-08-03,202431,31.0
US-CA,06,2024-08-10,202432,19.0
US-CA,06,2024-08-17,202433,32.0
US-CA,06,2024-08-24,202434,18.0
US-CA,06,2024-08-31,202435,20.0
US-CA,06,2024-09-07,202436,15.0
US-CA,06,2024-09-14,202437,25.0
US-CA,06,2024-09-21,202438,17.0
US-CA,06,2024-09-28,202439,26.0
US-CA,06,2024-10-05,202440,30.0
US-CA,06,2024-10-12,202441,30.0
US-CA,06,2024-10-19,202442,75.0
US-CA,06,2024-10-26,202443,137.0
US-CA,06,2024-11-02,202444,112.0
US-CA,06,2024-11-09,202445,177.0
US-CA,06,2024-11-16,202446,323.0
US-CA,06,2024-11-23,202447,526.0
US-CA,06,2024-11-30,202448,708.0
US-CA,06,2024-12-07,202449,1127.0
US-CA,06,2024-12-14,202450,1521.0
US-CA,06,2024-12-21,202451,2564.0
US-CA,06,2024-12-28,202452,3866.0
US-CA,06,2025-01-04,202501,4025.0
US-CA,06,2025-01-11,202502,3266.0
US-CA,06,2025-01-18,202503,3668.0
US-CA,06,2025-01-25,202504,4091.0
US-CA,06,2025-02-01,202505,4599.0
US-CA,06,2025-02-08,202506,3676.0
US-CA,06,2025-02-15,202507,2800.0
US-CA,06,2025-02-22,202508,2052.0
US-CA,06,2025-03-01,202509,1466.0
US-CA,06,2025-03-08,202510,1069.0
US-CA,06,2025-03-15,202511,997.0
US-CA,06,2025-03-22,202512,711.0
US-CA,06,2025-03-29,202513,596.0
US-CA,06,2025-04-05,202514,454.0
US-CA,06,2025-04-12,202515,422.0
US-CA,06,2025-04-19,202516,354.0
US-CA,06,2025-04-26,202517,255.0
US-CA,06,2025-05-03,202518,243.0
US-CA,06,2025-05-10,202519,182.0
US-CA,06,2025-05-17,202520,173.0
US-CA,06,2025-05-24,202521,186.0
US-CA,06,2025-05-31,202522,193.0
US-CA,06,2025-06-07,202523,149.0
US-CA,06,2025-06-14,202524,158.0
US-CA,06,2025-06-21,202525,124.0
US-CA,06,2025-06-28,202526,98.0
US-CA,06,2025-07-05,202527,86.0
US-CA,06,2025-07-12,202528,105.0
US-CA,06,2025-07-19,202529,73.0
US-CA,06,2025-07-26,202530,67.0
US-CA,06,2025-08-02,202531,71.0
US-CA,06,2025-08-09,202532,66.0
US-CA,06,2025-08-16,202533,74.0
US-CA,06,2025-08-23,202534,72.0
US-CA,06,2025-08-30,202535,90.0
US-CA,06,2025-09-06,202536,91.0
US-CA,06,2025-09-13,202537,90.0
US-CA,06,2025-09-20,202538,83.0
US-CA,06,2025-09-27,202539,105.0
US-CA,06,2025-10-04,202540,92.0
US-CA,06,2025-10-11,202541,96.0
US-CA,06,2025-10-18,202542,102.0
US-CA,06,2025-10-25,202543,102.0
US-CA,06,2025-11-01,202544,139.0
US-CA,06,2025-11-08,202545,151.0
US-CA,06,2025-11-15,202546,149.0
US-CA,06,2025-11-22,202547,148.0
US-CA,06,2025-11-29,202548,217.0
US-CA,06,2025-12-06,202549,262.0
US-CA,06,2025-12-13,202550,426.0
US-CA,06,2025-12-20,202551,719.0
US-CA,06,2025-12-27,202552,1247.0
US-CA,06,2026-01-03,202553,1568.0
US-CA,06,2026-01-10,202601,1494.0
US-CA,06,2026-01-17,202602,1396.0
US-CA,06,2026-01-24,202603,1624.0
US-CA,06,2026-01-31,202604,1648.0
US-CA,06,2026-02-07,202605,2074.0
US-CA,06,2026-02-14,202606,2151.0
US-CA,06,2026-02-21,202607,1566.0
US-CA,06,2026-02-28,202608,1314.0
US-CA,06,2026-03-07,202609,974.0
US-CA,06,2026-03-14,202610,671.0
US-CA,06,2026-03-21,202611,701.0
US-CA,06,2026-03-28,202612,426.0
US-CA,06,2026-04-04,202613,309.0
US-CA,06,2026-04-11,202614,259.0
US-CA,06,2026-04-18,202615,194.0
US-CA,06,2026-04-25,202616,230.0
US-CA,06,2026-05-02,202617,212.0
US-CA,06,2026-05-09,202618,193.0
US-CA,06,2026-05-16,202619,173.0
US-CA,06,2026-05-23,202620,126.0
US-CO,08,2024-01-06,202401,308.0
US-CO,08,2024-01-13,202402,286.0
